ORGANIZATION	AWARDS	FUNDING	CITY	STATE
"BUTLER HOSPITAL (PROVIDENCE, RI)"	27	8906347	PROVIDENCE	RI
BUTLER UNIVERSITY	1	29175	INDIANAPOLIS	IN
"C/J MEDIA, INC."	1	143650	EUGENE	OR
"CADUCEUS WIRELESS, INC."	1	295543	GROTON	MA
"CAERUS MOLECULAR DIAGNOSTICS, INC."	1	251300	LOS ALTOS	CA
"CAKTUS CONSULTING GROUP, LLC"	1	150000	CARRBORO	NC
CALANCE CORPORATION	1	259015	MONROE	NJ
"CALDERA PHARMACEUTICALS, INC."	1	1000000	LOS ALAMOS	NM
"CALIFIA BIO, INC."	1	566811	SAN DIEGO	CA
"CALIFORNIA FAMILY HEALTH COUNCIL, INC."	2	946790	LOS ANGELES	CA
CALIFORNIA INSTITUTE OF TECHNOLOGY	126	59559501	PASADENA	CA
CALIFORNIA PACIFIC MED CTR RES INSTITUTE	15	10012814	SAN FRANCISCO	CA
CALIFORNIA POLY STATE U SAN LUIS OBISPO	4	2013329	SAN LUIS OBISPO	CA
CALIFORNIA RURAL INDIAN HEALTH BOARD	1	126390	SACRAMENTO	CA
CALIFORNIA STATE POLY U POMONA	3	406807	POMONA	CA
CALIFORNIA STATE UNIV SAN BERNARDINO	7	1754004	SAN BERNARDINO	CA
CALIFORNIA STATE UNIV-DOMINGUEZ HILLS	2	513866	CARSON	CA
CALIFORNIA STATE UNIVERSITY FRESNO	1	100167	FRESNO	CA
CALIFORNIA STATE UNIVERSITY FULLERTON	12	2895311	FULLERTON	CA
CALIFORNIA STATE UNIVERSITY LONG BEACH	20	3803393	LONG BEACH	CA
CALIFORNIA STATE UNIVERSITY LOS ANGELES	11	3922856	LOS ANGELES	CA
CALIFORNIA STATE UNIVERSITY NORTHRIDGE	21	4243269	NORTHRIDGE	CA
CALIFORNIA STATE UNIVERSITY SACRAMENTO	1	265997	SACRAMENTO	CA
CALIFORNIA STATE UNIVERSITY SAN MARCOS	12	2434018	SAN MARCOS	CA
"CALISTA THERAPEUTICS, INC."	1	224993	LINCOLN	RI
CALVIN COLLEGE	1	375870	GRAND RAPIDS	MI
CAMBRIDGE HEALTH ALLIANCE	3	1408534	CAMBRIDGE	MA
"CANCER GENETICS, INC."	1	296877	Rutherford	NJ
CANCER PREVENTION INSTIT OF CALIFORNIA	7	4362038	FREMONT	CA
"CAPITAL TECHNOLOGY INFORMATION SERVICES,"	2	8064441	ROCKVILLE	MD
"CAPRICOR, INC."	1	999912	WEST HOLLYWOOD	CA
"CAPTOZYME, LLC"	1	704911	GAINESVILLE	FL
"CARE TEAM SOLUTIONS, LLC"	2	354194	Lexington	KY
"CARIBOU BIOSCIENCES, INC."	1	158902	BERKELEY	CA
"CARING TECHNOLOGIES, INC."	2	1043910	BOISE	ID
CARL T. HAYDEN MEDICAL RESEARCH FDN	1	594871	PHOENIX	AZ
CARLE FOUNDATION	1	828213	URBANA	IL
"CARMOT THERAPEUTICS, INC."	2	1206511	SAN FRANCISCO	CA
"CARNEGIE INSTITUTION OF WASHINGTON, D.C."	16	4238812	WASHINGTON	DC
CARNEGIE-MELLON UNIVERSITY	65	20956398	PITTSBURGH	PA
CAROLINAS MEDICAL CENTER	5	4119613	CHARLOTTE	NC
CASE WESTERN RESERVE UNIVERSITY	385	173162699	CLEVELAND	OH
"CASSIA, LLC"	1	300000	DEL MAR	CA
CATHOLIC UNIVERSITY OF AMERICA	4	1646129	WASHINGTON	DC
"CDI BIOSCIENCE, INC."	1	346684	MADISON	WI
"CDM GROUP, INC."	2	2070185	BETHESDA	MD
CEDARS-SINAI MEDICAL CENTER	71	27956249	LOS ANGELES	CA
"CELDARA MEDICAL, LLC"	3	3105914	LEBANON	NH
"CELL AND TISSUE SYSTEMS, INC."	2	537567	NORTH CHARLESTON	SC
"CELL MICROSYSTEMS, INC."	2	301352	CHAPEL HILL	NC
"CELLDEX THERAPEUTICS, INC."	2	110528	NEEDHAM	MA
"CELLECTA, INC."	1	299952	MOUNTAIN VIEW	CA
"CELLERANT THERAPEUTICS, INC."	2	1689823	SAN CARLOS	CA
CELLOMICS TECHNOLOGY	1	224700	Rockville	MD
"CELLSIGHT TECHNOLOGIES, INC."	1	1499971	PORTOLA VALLEY	CA
CELLTRONIX	1	9000	SAN DIEGO	CA
"CELLULAR RESEARCH, INC."	3	660000	PALO ALTO	CA
CENTER FOR CONSTRUCTION RES AND TRAINING	2	4401541	SILVER SPRING	MD
CENTER FOR ENVIRONMENTAL SCIENCE	1	131392	CAMBRIDGE	MD
CENTER FOR INNOVATIVE PUBLIC HEALTH RES	1	524706	SAN CLEMENTE	CA
CENTER FOR PSYCHOLOGICAL CONSULTATION	3	1350176	MADISON	WI
"CENTER FOR SOCIAL INNOVATION, LLC"	1	348538	Needham	MA
CENTER OF ENVIRONMENTAL HEALTH	2	2415939	MENANDS	NY
CENTRAL MICHIGAN UNIVERSITY	3	817317	MOUNT PLEASANT	MI
"CERAMIDE THERAPEUTICS, LLC"	1	223891	BROOKLYN	NY
CERNO BIOSCIENCE	1	215676	NORWALK	CT
"CERTERRA, INC."	1	349998	COLD SPRING HARBOR	NY
CFD RESEARCH CORPORATION	3	1388327	HUNTSVILLE	AL
CHAMINADE UNIVERSITY OF HONOLULU	1	696991	HONOLULU	HI
"CHANTEST, INC."	1	552449	CLEVELAND	OH
CHAPMAN UNIVERSITY	1	117157	ORANGE	CA
CHARLES R. DREW UNIVERSITY OF MED & SCI	14	16209303	LOS ANGELES	CA
"CHARLES RIVER LABORATORIES INTNTL, INC."	15	16139789	WILMINGTON	MA
CHARLES STARK DRAPER LABORATORY	2	998917	CAMBRIDGE	MA
"CHARLESSON, LLP"	2	926459	OKLAHOMA CITY	OK
"CHEMBIO DIAGNOSTIC SYSTEMS, INC."	1	915648	MEDFORD	NY
"CHEMILY, LLC"	1	299544	ATLANTA	GA
"CHEMINPHARMA, LLC"	2	105311	NEW HAVEN	CT
"CHEMISTRY RESEARCH SOLUTION, LLC"	1	56496	BRISTOL	PA
"CHESTNUT HEALTH SYSTEMS, INC."	4	2069479	BLOOMINGTON	IL
CHICAGO ASSN FOR RESEARCH & EDUC IN SCI	3	637576	HINES	IL
CHICAGO STATE UNIVERSITY	5	1147739	CHICAGO	IL
CHILDREN'S HOSP OF PHILADELPHIA	206	108503611	PHILADELPHIA	PA
CHILDREN'S HOSPITAL & RES CTR AT OAKLAND	29	14238224	OAKLAND	CA
CHILDREN'S HOSPITAL (NEW ORLEANS)	1	81926	NEW ORLEANS	LA
CHILDREN'S HOSPITAL CORPORATION	303	126812298	BOSTON	MA
CHILDREN'S HOSPITAL OF DENVER	1	314021	AURORA	CO
CHILDREN'S HOSPITAL OF LOS ANGELES	46	17149123	LOS ANGELES	CA
CHILDREN'S HOSPITAL OF ORANGE COUNTY	1	545118	ORANGE	CA
CHILDREN'S HOSPITALS AND CLINICS	1	312764	MINNEAPOLIS	MN
"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)"	8	3861757	KANSAS CITY	MO
CHILDREN'S RESEARCH INSTITUTE	62	24141235	WASHINGTON	DC
CHILDREN'S TUMOR FOUNDATION	1	13000	NEW YORK	NY
"CHINGLU PHARMACEUTICAL RESEARCH, LLC"	1	345000	NEWINGTON	CT
CHLAMYDIA BASIC RESEARCH SOCIETY	1	10000	LITTLE ROCK	AR
CHORDOMA FOUNDATION	1	20000	DURHAM	NC
CHRISTIAN BROTHERS UNIVERSITY	1	226464	MEMPHIS	TN
"CHRISTIANA CARE HEALTH SERVICES, INC."	3	2533001	NEWARK	DE
CHROMATAN CORPORATION	1	585041	DEDHAM	MA
"CHROMOSENSE, LLC"	1	100000	BROOKLYN	NY
"CHRONO THERAPEUTICS, INC."	1	1463029	NEW CITY	NY
"CHRYSALIS BIOTHERAPEUTICS, INC."	2	2310343	GALVESTON	TX
"CIENCIA, INC."	1	282394	EAST HARTFORD	CT
"CIMIT ACCELERATOR, LLC"	1	171198	BOSTON	MA
CINCINNATI CHILDRENS HOSP MED CTR	257	105269995	CINCINNATI	OH
"CIRCULITE, INC."	2	878110	SADDLE BROOK	NJ
"CIRCULOMICS, INC."	2	399504	BALTIMORE	MD
CITY COLLEGE OF NEW YORK	28	10004925	NEW YORK	NY
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	85	36942940	DUARTE	CA
"CLAREMONT BIOSOLUTIONS, LLC"	1	1000000	UPLAND	CA
CLAREMONT GRADUATE UNIVERSITY	9	3319740	CLAREMONT	CA
"CLARIAN HEALTH PARTNERS, INC."	1	65138	INDIANAPOLIS	IN
"CLARITRAC, INC."	1	200958	LOS ANGELES	CA
CLARK ATLANTA UNIVERSITY	5	3094300	ATLANTA	GA
"CLARK UNIVERSITY (WORCESTER, MA)"	2	487518	WORCESTER	MA
CLARKSON UNIVERSITY	2	622928	POTSDAM	NY
"CLEAR GUIDE MEDICAL, LLC"	2	1186494	BALTIMORE	MD
CLEMSON UNIVERSITY	17	4874803	CLEMSON	SC
CLEVELAND CLINIC LERNER COM-CWRU	203	82188005	CLEVELAND	OH
"CLEVELAND MEDICAL DEVICES, INC."	2	727326	CLEVELAND	OH
CLEVELAND STATE UNIVERSITY	6	1731711	CLEVELAND	OH
"CLINACUITY,INC."	1	277017	SALT LAKE CITY	UT
"CLINICAL RESEARCH MANAGEMENT, INC."	5	3592098	HINCKLEY	OH
"CLINICAL TOOLS, INC."	5	2459089	CHAPEL HILL	NC
"C-MOTION, INC."	1	149084	GERMANTOWN	MD
"COAPT, LLC"	1	150490	CHICAGO	IL
"COARE BIOTECHNOLOGY, INC."	1	220099	OKLAHOMA CITY	OK
"CODAGENIX, INC."	1	300000	GREAT NECK	NY
"CODEX BIOSOLUTIONS, INC."	1	158510	Gaithersburg	MD
"COG ANALYTICS, LLC"	2	306211	POTOMAC	MD
"COGITO HEALTH, INC."	1	336770	CHARLESTOWN	MA
"COGNIZANCE BIOMARKERS, LLC"	1	349998	PHILADELPHIA	PA
"COGNOSCI, INC."	2	498309	RESEARCH TRIANGLE PARK	NC
"COHERA MEDICAL, INC."	1	731889	PITTSBURGH	PA
COLBY PHARMACEUTICAL COMPANY	1	249997	San Jose	CA
COLD SPRING HARBOR LABORATORY	80	31532003	COLD SPRING HARBOR	NY
"COLLABORATIVE DRUG DISCOVERY, INC."	5	1542180	BURLINGAME	CA
"COLLAGEN MEDICAL, LLC"	3	994106	BELMONT	MA
COLLEGE AT OLD WESTBURY	1	202156	OLD WESTBURY	NY
COLLEGE AT OSWEGO	1	324551	OSWEGO	NY
COLLEGE AT PURCHASE	1	188627	PURCHASE	NY
COLLEGE OF ENVIRONMENTAL SCI & FORESTRY	1	351000	SYRACUSE	NY
COLLEGE OF NEW JERSEY	1	271584	EWING	NJ
COLLEGE OF ST SCHOLASTICA	1	49916	DULUTH	MN
COLLEGE OF WILLIAM AND MARY	4	713330	WILLIAMSBURG	VA
COLLEGE ON PROBLEMS OF DRUG DEPENDENCE	1	95000	PHILADELPHIA	PA
COLLINGE AND ASSOCIATES	1	994051	KITTERY	ME
"COLORADO CANCER RESEARCH PROGRAM, INC."	1	1136278	DENVER	CO
COLORADO SCHOOL OF MINES	2	480395	GOLDEN	CO
COLORADO STATE UNIVERSITY	98	32724352	FORT COLLINS	CO
COLUMBIA UNIV NEW YORK MORNINGSIDE	103	40748387	NEW YORK	NY
COLUMBIA UNIVERSITY HEALTH SCIENCES	752	305384118	NEW YORK	NY
COLUMBIA UNIVERSITY TEACHERS COLLEGE	5	2013717	NEW YORK	NY
COLUMBUS COMMUNITY CLINICAL ONCOLOGY PRG	1	733151	COLUMBUS	OH
"COLUMBUS NANOWORKS, INC."	1	170699	COLUMBUS	OH
"COMMUNICATION DISORDERS TECHNOLOGY, INC"	2	968179	BLOOMINGTON	IN
COMMUNITY BASED ORGANIZATION PARTNERS	1	43889	FLINT	MI
COMMUNITY STRATEGIES	1	205000	STATE COLLEGE	PA
COMMUNITY-CAMPUS PARTNERSHIPS/HEALTH	3	215831	Seattle	WA
"COMPACT MEMBRANE SYSTEMS, INC."	2	465640	NEWPORT	DE
"CONCORDANCE HEALTH SOLUTIONS, LLC"	1	448089	WEST LAFAYETTE	IN
"CONFLUENCE LIFE SCIENCES, LLC"	1	289278	SAINT LOUIS	MO
"CONFOMETRX, INC."	1	333000	PALO ALTO	CA
CONNECTICUT CHILDREN'S MEDICAL CENTER	2	2784109	HARTFORD	CT
"CONVERGENCE MEDICAL DEVICES, INC."	2	1099527	Boston	MA
"CONVERGENT ENGINEERING, INC."	1	149403	NEWBERRY	FL
CONVERSION ENERGY ENTERPRISES	1	589175	SPRING VALLEY	NY
COOPER UNIVERSITY HOSPITAL	1	625238	CAMDEN	NJ
"COPD FOUNDATION, INC."	1	5000	MIAMI	FL
CORAMED TECHNOLOGIES	1	932599	NILES	IL
CORIELL INSTITUTE FOR MEDICAL RESEARCH	4	13330393	CAMDEN	NJ
CORIXA CORPORATION	2	4465387	HAMILTON	MT
CORNELIA DE LANGE SYNDROME FOUNDATION	1	6000	AVON	CT
CORNELL UNIVERSITY	193	63298438	ITHACA	NY
"CORNERSTONE SYSTEMS NORTHWEST, INC."	2	234008	LYNDEN	WA
"CORSOLUTIONS, LLC"	2	667714	GROTON	NY
"CORTICOMETRICS, LLC"	1	359391	CHELSEA	MA
"COVENANT THERAPEUTICS, LLC"	1	99674	CHARLOTTESVILLE	VA
"CREARE, INC."	2	639948	HANOVER	NH
CREIGHTON UNIVERSITY	23	7982225	OMAHA	NE
"CRESTONE, INC."	1	1000000	AURORA	CO
"CRINETICS PHARMACEUTICALS, INC."	1	999917	SAN DIEGO	CA
"CROSSROADS CONSULTING, LLC"	1	149947	JOHNSTOWN	PA
"CRYSTAL BIOSCIENCE, INC."	1	775844	EMERYVILLE	CA
"CSR, INC."	2	2860672	ARLINGTON	VA
"CT RESOURCES, INC."	1	191060	EDEN PRAIRIE	MN
CTR FOR MOLECULAR MEDICINE/IMMUNOLOGY	1	248234	Morris Plains	NJ
"CUBRC, INC."	3	6930831	BUFFALO	NY
CUNY GRADUATE SCH AND UNIV CTR	4	105729	NEW YORK	NY
"CUREVEDA, LLC"	1	149959	BALTIMORE	MD
"CURIRX, INC."	1	1000	WILMINGTON	MA
"CUSTOMKYNETICS, INC."	1	459239	Nicholasville	KY
"CVUS CLINICAL TRIALS, LLC"	1	638158	SALT LAKE CITY	UT
"CYBERLOGIC, INC."	1	302612	NEW YORK	NY
"CYNVENIO BIOSYSTEMS, INC."	2	1701281	WESTLAKE VILLAGE	CA
"CYPRIS, LLC"	1	266172	SOUTH LYON	MI
"CYTEL, INC"	2	994984	CAMBRIDGE	MA
CYTEX THERAPEUTICS INC.	3	1344753	DURHAM	NC
"CYTOBANK, INC."	1	1018697	MOUNTAIN VIEW	CA
"CYTODESIGN, INC."	1	299749	Palo Alto	CA
"CYTOGRAFT TISSUE ENGINEERING, INC."	1	207689	NOVATO	CA
"CYTOINFORMATICS, LLC"	1	150000	NICHOLASVILLE	KY
"CYTOLUMINA TECHNOLOGIES CORPORATION, INC"	1	200465	WALNUT	CA
"CYTOSORBENTS, INC."	1	203351	MONMOUTH JUNCTION	NJ
"CYTOVALE, INC."	1	199999	SOUTH SAN FRANCISCO	CA
"CYTOVAS, LLC"	1	271295	PHILADELPHIA	PA
"D AND E TECHNICAL, INC."	1	140631	CHAMPAIGN	IL
DAHL NATURAL	1	493507	Corvallis	OR
DANA-FARBER CANCER INST	201	115844948	BOSTON	MA
"DANYA INTERNATIONAL, INC."	1	270180	SILVER SPRING	MD
DARTMOUTH COLLEGE	188	81705567	HANOVER	NH
DAVIDSON COLLEGE	4	1099161	DAVIDSON	NC
"DAYSAI BIOPHARMACEUTICALS, INC."	1	280492	NEW ROCHELLE	NY
DAYTON CLINICAL ONCOLOGY PROGRAM	1	840454	DAYTON	OH
DAYTOP VILLAGE	1	40000	NEW YORK	NY
DE PAUL UNIVERSITY	3	1107300	CHICAGO	IL
DECATUR MEMORIAL HOSPITAL	1	1542411	DECATUR	IL
DECISION RESEARCH	2	558428	EUGENE	OR
"DEKK-TEC, INC."	1	638567	NEW ORLEANS	LA
DELAWARE STATE UNIVERSITY	5	3653876	DOVER	DE
"DELPHINUS MEDICAL TECHNOLOGIES, INC."	1	429516	PLYMOUTH	MI
"DELPOR, INC."	1	849613	San Francisco	CA
DENVER HEALTH AND HOSPITAL AUTHORITY	5	1103869	DENVER	CO
DENVER RESEARCH INSTITUTE	1	320821	DENVER	CO
"DERMAXON, LLC"	1	225000	MISSOULA	MT
DES MOINES UNIV OSTEOPATHIC MEDICAL CTR	1	256484	DES MOINES	IA
"DETECT BIOSCIENCES, LLC"	1	519397	NEW YORK	NY
"DETECTOGEN, INC."	1	300000	North Grafton	MA
DETON CORPORATION	1	296721	PASADENA	CA
"DETROIT R & D, INC."	2	1130868	DETROIT	MI
"DFH PHARMA, INC."	1	186374	GAITHERSBURG	MD
"DIABETOMICS, INC."	1	291375	BEAVERTON	OR
"DIACARTA, LLC"	1	296893	Hayward	CA
"DIAGNOLOGIX, LLC"	1	143649	SAN DIEGO	CA
"DIAGNOSOFT, INC."	1	505012	PALO ALTO	CA
"DIAGNOSTIC BIOCHIPS, INC."	3	711858	COLUMBIA	MD
"DIAGNOSTIC PHOTONICS, INC."	2	1031786	CHICAGO	IL
"DIAGNOSTICS FOR THE REAL WORLD, LTD"	1	911190	SUNNYVALE	CA
"DIAMIR, LLC"	1	223587	PRINCETON	NJ
"DIAPEDIA, LLC"	1	537847	STATE COLLEGE	PA
"DIFFINITY GENOMICS, INC."	2	255637	WEST HENRIETTA	NY
"DIFFREGEN, LLC"	1	288301	BERWYN	PA
"DIGITAL ARTEFACTS, LLC"	1	224953	IOWA CITY	IA
"DIGITAL ARTFORMS, INC."	1	250000	LOS GATOS	CA
"DIGITAL PROTEOMICS, LLC"	1	238717	SAN DIEGO	CA
DILLARD UNIVERSITY	3	6934370	NEW ORLEANS	LA
"DIRECT ELECTRON, LP"	1	241404	SAN DIEGO	CA
"DISCOVERY GENOMICS, INC."	2	679509	MINNEAPOLIS	MN
"DISCOVERY LABORATORIES, INC."	1	300000	WARRINGTON	PA
"DISCOVERYBIOMED, INC."	2	661260	BIRMINGHAM	AL
"DMETRIX, INC."	2	958861	TUCSON	AZ
"DM-STAT, INC."	2	1021683	MALDEN	MA
DNA MEDICINE INSTITUTE	1	486288	Cambridge	MA
"DNA SOFTWARE, INC."	1	368250	ANN ARBOR	MI
"DNASTAR, INC."	2	635252	MADISON	WI
DOHENY EYE INSTITUTE	3	2620258	LOS ANGELES	CA
DONALD DANFORTH PLANT SCIENCE CENTER	3	927596	ST. LOUIS	MO
DONNA L ROMERO	1	49000	CHESTERFIELD	MO
DORN RESEARCH INSTITUTE	1	125000	COLUMBIA	SC
"DOTY SCIENTIFIC, INC."	2	794920	COLUMBIA	SC
DOUBLE S INSTRUCTIONAL SYSTEMS	1	442431	EUGENE	OR
DREXEL UNIVERSITY	87	33720746	PHILADELPHIA	PA
"DRVISION TECHNOLOGIES, LLC"	1	983515	BELLEVUE	WA
DUKE UNIVERSITY	753	350249092	DURHAM	NC
DUQUESNE UNIVERSITY	8	2448477	PITTSBURGH	PA
"DXDISCOVERY, INC."	1	300000	RENO	NV
"DXTERITY DIAGNOSTICS, INC."	1	280005	MANHATTAN BEACH	CA
"DYNAMIC CONNECTIONS, LLC"	1	565575	SAN DIEGO	CA
DYNAVAX TECHNOLOGIES CORPORATION	3	627986	BERKELEY	CA
"DYNPORT VACCINE COMPANY, LLC"	4	5956118	FREDERICK	MD
"EAR MACHINE, LLC"	1	155846	NORTHBROOK	IL
EARLENS CORPORATION	1	1200000	REDWOOD CITY	CA
EAST CAROLINA UNIVERSITY	23	6020668	GREENVILLE	NC
EAST TENNESSEE STATE UNIVERSITY	14	4379135	JOHNSON CITY	TN
EASTERN MICHIGAN UNIVERSITY	1	181465	YPSILANTI	MI
EASTERN VIRGINIA MEDICAL SCHOOL	16	4066268	NORFOLK	VA
"ECHELON BIOSCIENCES, INC."	1	520907	SALT LAKE CITY	UT
"EDEN MEDICAL, INC."	2	1252770	HOWARD LAKE	MN
EDENSPACE SYSTEMS CORPORATION	1	460888	Purcellville	VA
"EDJ ASSOCIATES, INC."	3	2116622	RESTON	VA
"EDUCATION DEVELOPMENT CENTER, INC."	1	542933	Waltham	MA
"EDUCATION, TRAINING, & RESEARCH ASSOCS"	1	437906	SCOTTS VALLEY	CA
EDVENTURE CHILDREN'S MUSEUM	1	244929	COLUMBIA	SC
"EIC LABORATORIES, INC."	1	967179	NORWOOD	MA
"EIGER GROUP INTERNATIONAL, INC."	1	1000000	PALO ALTO	CA
EL PASO COMMUNITY COLLEGE	1	568189	EL PASO	TX
"ELECTRICAL GEODESICS, INC."	2	741666	EUGENE	OR
"ELECTRONIC BIOSCIENCES, INC."	2	838852	SAN DIEGO	CA
"ELGAVISH PARAMAGNETICS, INC."	1	440498	BIRMINGHAM	AL
ELIZABETH CITY STATE UNIVERSITY	3	548907	ELIZABETH CITY	NC
"ELLENSON INTEGRATION ENTERPRISES, INC."	1	164418	NEW YORK	NY
"ELSOHLY LABORATORIES, INC."	1	205514	OXFORD	MS
EMANUEL HOSPITAL AND HEALTH CENTER	7	2690297	PORTLAND	OR
"EMBEDRF, LLC"	2	664561	PORTLAND	OR
EMERGENT PRODUCT DEVELOPMENT GAITHERSBUR	2	3505783	GAITHERSBURG	MD
EMERSON COLLEGE	1	402978	BOSTON	MA
EMINENT SERVICES CORPORATION	1	538955	FREDERICK	MD
EMMA PENDLETON BRADLEY HOSPITAL	2	741714	EAST PROVIDENCE	RI
EMMES CORPORATION	16	36991894	ROCKVILLE	MD
"EMMYON, INC."	1	160002	CORALVILLE	IA
EMORY UNIVERSITY	635	272395344	ATLANTA	GA
EMPIRE GENOMICS. LLC	1	142432	BUFFALO	NY
EMPIRICAL TECHNOLOGIES CORPORATION	1	964641	CHARLOTTESVILLE	VA
"ENANTA PHARMACEUTICALS, INC."	1	9218951	WATERTOWN	MA
"ENANTIGEN THERAPEUTICS, INC."	2	594674	DOYLESTOWN	PA
"ENDOCOLE, LLC"	1	144150	SANTA BARBARA	CA
ENDOCRINE SOCIETY	3	408258	CHEVY CHASE	MD
"ENDOORTHOPAEDICS, INC."	1	322760	SAN FRANCISCO	CA
"ENERGESIS PHARMACEUTICALS, INC."	1	168876	BOSTON	MA
"ENERTECHNIX, INC."	1	433573	MAPLE VALLEY	WA
"ENGINEERING ARTS, LLC"	1	599557	PHOENIX	AZ
"ENSION, INC."	2	760037	PITTSBURGH	PA
"ENTANGLEMENT TECHNOLOGIES, INC."	1	148209	BURLINGAME	CA
"ENTROGEN, INC."	1	145080	TARZANA	CA
"ENVIROFIT INTERNATIONAL, LLC"	1	97449	FORT COLLINS	CO
"ENVIRONMENT AND HEALTH GROUP, INC."	3	582282	CAMBRIDGE	MA
ENVIRONMENTAL MUTAGENESIS/GENOMICS SOC	1	12000	RESTON	VA
EPICENTER SOFTWARE	1	433513	PASADENA	CA
"EPIGEN BIOSCIENCES, INC."	2	674409	SAN DIEGO	CA
"EPIPHANY BIOSCIENCES, INC."	1	526885	SAN FRANCISCO	CA
"EPITEL, INC."	1	601418	SALT LAKE CITY	UT
"EPITOGENESIS, INC."	1	300000	storrs	CT
"EPIVAX, INC."	3	1403925	PROVIDENCE	RI
ERNEST GALLO CLINIC AND RESEARCH CENTER	7	2010883	EMERYVILLE	CA
"ESAC, INC."	1	143916	ROCKVILLE	MD
ESSEN BIOSCIENCE	1	16800	ANN ARBOR	MI
ESSENTIA INSTITUTE OF RURAL HEALTH	3	1851092	DULUTH	MN
"ETECT, INC."	1	150741	NEWBERRY	FL
"ETIOMETRY, LLC"	2	549839	BOSTON	MA
ETUBICS CORPORATION	2	2098570	SEATTLE	WA
"EUCLID DIAGNOSTICS, LLC"	1	287585	Crown Point	IN
"EUVEDA BIOSCIENCES, INC."	1	224914	ELLICOTT CITY	MD
"EVAS THERAPEUTICS, LLC."	1	638409	BALLWIN	MO
"EVE BIOMEDICAL, INC."	1	250000	Redwood City	CA
"EVERY FIT, INC."	2	1148169	BOSTON	MA
"EVIDENCE-BASED PRACTICE INSTITUTE, LLC"	1	340071	SEATTLE	WA
"EVORX TECHNOLOGIES, INC."	1	249748	SOUTH PASADENA	CA
EXCELLIMS CORPORATION	1	170648	ACTON	MA
"EXCMR, LTD"	1	352286	COLUMBUS	OH
"EXEMPLAR GENETICS, LLC"	2	833094	SIOUX CENTER	IA
"EXPERIAD, LLC"	1	347991	SEATTLE	WA
EXPERIMENTAL PATHOLOGY LABORATORIES	1	6503950	STERLING	VA
EXPRESSION THERAPEUTICS	1	386432	Tucker	GA
"EXTEND BIOSCIENCES, INC."	2	587950	CAMBRIDGE	MA
"EYENUK, LLC"	1	199467	WOODLAND HILLS	CA
"EYERX RESEARCH, INC."	1	146388	NORFOLK	VA
FAIRFIELD UNIVERSITY	1	69159	FAIRFIELD	CT
FAMILIES OF SPINAL MUSCULAR ATROPHY	1	20000	LIBERTYVILLE	IL
FAMILY HEALTH INTERNATIONAL	10	9153405	DURHAM	NC
"FAMILY WORKS, INC."	1	639157	ATHENS	OH
"FARADAY TECHNOLOGY, INC."	1	493482	CLAYTON	OH
"FARUS, LLC"	2	635616	Vista	CA
"FAST TRACK DRUGS & BIOLOGICS, LLC"	1	225528	GAITHERSBURG	MD
FATHER FLANAGAN'S BOYS' HOME	16	4383611	BOYS TOWN	NE
FAYETTEVILLE STATE UNIVERSITY	2	418054	FAYETTEVILLE	NC
FEDERATION OF AMER SOC FOR EXPER BIOLOGY	30	2769288	BETHESDA	MD
FEDERATION OF AMERICAN SCIENTISTS	1	129424	WASHINGTON	DC
FEDERATION/CLINICAL IMMUNOLOGY SOCIETIES	2	32000	MILWAUKEE	WI
FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH	60	20231124	MANHASSET	NY
"FEMTOFAB, INC."	1	390850	CAMBRIDGE	MA
FENWAY COMMUNITY HEALTH CENTER	6	2602843	BOSTON	MA
"FERRO SOLUTIONS, INC."	1	982283	WOBURN	MA
"FHI DEVELOPMENT 360, LLC"	1	569966	DURHAM	NC
"FIRST LIGHT BIOSCIENCES, INC."	1	942482	BEDFORD	MA
"FISHER BIOSERVICES, INC."	11	25921242	ROCKVILLE	MD
FISK UNIVERSITY	2	369670	NASHVILLE	TN
"FIT INTERACTIVE, LLC"	1	603280	FALLS CHURCH	VA
FLOCEL INC.	1	470737	CLEVELAND	OH
FLORIDA AGRICULTURAL AND MECHANICAL UNIV	5	4590209	TALLAHASSEE	FL
FLORIDA ASSN OF PEDIATRIC TUMOR PROG	1	503765	TAMPA	FL
FLORIDA ATLANTIC UNIVERSITY	17	4789655	BOCA RATON	FL
FLORIDA GULF COAST UNIVERSITY	1	381052	FORT MYERS	FL
FLORIDA HOSPITAL	3	1446385	ORLANDO	FL
FLORIDA INSTITUTE OF TECHNOLOGY	1	239421	MELBOURNE	FL
FLORIDA INTERNATIONAL UNIVERSITY	44	13695690	MIAMI	FL
FLORIDA STATE UNIVERSITY	54	15704150	TALLAHASSEE	FL
"FLUENTIAL, LLC"	1	611285	SUNNYVALE	CA
"FLUIDIC TOOLS, LLC"	1	150000	WATERTOWN	MA
"FLUIDITY SOFTWARE, INC."	1	488653	SOMERVILLE	MA
"FLUORESCENCE INNOVATIONS, INC."	1	70163	BOZEMAN	MT
FLUOROMETRIX CORPORATION	1	246743	STOW	MA
"FOCALCOOL, LLC"	1	299761	EAST WINDSOR	NJ
FOODSOURCE LURE CORPORATION	1	1000000	BIRMINGHAM	AL
FORDHAM UNIVERSITY	3	816605	BRONX	NY
FOR-ROBIN	1	282224	WILLIAMSVILLE	NY
